close,high,low,open,time,volumefrom,volumeto,datetime
1.15,1.15,1.12,1.13,20:00:00,816533.27,930682.25,2019-03-31
1.16,1.18,1.14,1.15,00:00:00,894568.99,1034470.07,2019-04-01
1.16,1.17,1.16,1.16,04:00:00,736918.12,858348.73,2019-04-01
1.15,1.16,1.14,1.16,08:00:00,985194.17,1131891.36,2019-04-01
1.18,1.19,1.15,1.15,12:00:00,820393.01,961116.15,2019-04-01
1.18,1.19,1.17,1.18,16:00:00,570198.63,672564.06,2019-04-01
1.16,1.19,1.15,1.18,20:00:00,1030317.53,1209241.68,2019-04-01
1.22,1.22,1.16,1.16,00:00:00,988693.08,1176969.56,2019-04-02
1.21,1.25,1.2,1.22,04:00:00,1370454.81,1683074.78,2019-04-02
1.24,1.25,1.2,1.21,08:00:00,1181248.02,1447765.61,2019-04-02
1.27,1.27,1.22,1.24,12:00:00,957075.48,1188539.03,2019-04-02
1.31,1.31,1.26,1.27,16:00:00,1084218.2,1384951.1,2019-04-02
1.32,1.34,1.31,1.31,20:00:00,1072318.98,1423282.45,2019-04-02
1.28,1.33,1.2,1.32,00:00:00,1855926.25,2344877.25,2019-04-03
1.28,1.29,1.25,1.28,04:00:00,959886.9,1215283.56,2019-04-03
1.28,1.29,1.28,1.28,08:00:00,1311970.18,1682314.91,2019-04-03
1.24,1.28,1.23,1.28,12:00:00,1977499.2,2462691.69,2019-04-03
1.18,1.27,1.17,1.24,16:00:00,861081.58,1046205.28,2019-04-03
1.2,1.21,1.18,1.18,20:00:00,860619.77,1036227.3,2019-04-03
1.26,1.26,1.2,1.2,00:00:00,1000591.17,1228610.35,2019-04-04
1.23,1.26,1.21,1.26,04:00:00,1121774.48,1390236.6,2019-04-04
1.26,1.3,1.22,1.23,08:00:00,1072437.64,1356452.92,2019-04-04
1.2,1.27,1.2,1.26,12:00:00,715598.28,881037.16,2019-04-04
1.23,1.23,1.19,1.2,16:00:00,428253.0,517535.02,2019-04-04
1.24,1.25,1.22,1.23,20:00:00,611416.39,757525.4,2019-04-04
1.25,1.27,1.24,1.24,00:00:00,489537.46,610657.83,2019-04-05
1.25,1.26,1.24,1.25,04:00:00,166173.77,207778.08,2019-04-05
