close,high,low,open,time,volumefrom,volumeto,datetime
0.002254,0.002349,0.002,0.002098,20:00:00,25886.43,56.92,2017-05-31
0.0019,0.002254,0.001801,0.002254,00:00:00,53999.44,102.99,2017-06-01
0.001838,0.002,0.001595,0.0019,04:00:00,32700.67,59.02,2017-06-01
0.00181,0.001944,0.001599,0.001838,08:00:00,27055.52,47.68,2017-06-01
0.001688,0.001944,0.0016,0.00181,12:00:00,38780.15,66.57,2017-06-01
0.001683,0.001744,0.00162,0.001688,16:00:00,15607.31,26.37,2017-06-01
0.001834,0.001836,0.00166,0.001683,20:00:00,14369.42,25.26,2017-06-01
0.0018,0.001889,0.0017,0.001834,00:00:00,11840.84,21.35,2017-06-02
0.001745,0.001835,0.001726,0.0018,04:00:00,5233.2,9.245,2017-06-02
0.001662,0.001773,0.001605,0.001745,08:00:00,14631.01,24.5,2017-06-02
0.001718,0.00178,0.001662,0.001662,12:00:00,10426.56,18.02,2017-06-02
0.00161,0.001723,0.00161,0.001718,16:00:00,11697.43,19.52,2017-06-02
0.001623,0.001688,0.0016,0.00161,20:00:00,24623.98,39.82,2017-06-02
0.001657,0.00168,0.00161,0.001623,00:00:00,7597.89,12.54,2017-06-03
0.001628,0.00167,0.001602,0.001657,04:00:00,11056.22,17.85,2017-06-03
0.001604,0.001653,0.001604,0.001628,08:00:00,11290.6,18.31,2017-06-03
0.001602,0.001635,0.001602,0.001604,12:00:00,17745.8,28.48,2017-06-03
0.001534,0.001617,0.001532,0.001602,16:00:00,13507.55,21.59,2017-06-03
0.001502,0.001579,0.001501,0.001534,20:00:00,7242.11,11.05,2017-06-03
0.001468,0.00162,0.001359,0.001502,00:00:00,14602.01,22.14,2017-06-04
0.001465,0.001547,0.0014,0.001468,04:00:00,10624.06,15.35,2017-06-04
0.001493,0.001505,0.00136,0.001465,08:00:00,20922.19,29.63,2017-06-04
0.001471,0.0016,0.00145,0.001493,12:00:00,12064.7,18.19,2017-06-04
0.001383,0.001517,0.00136,0.001471,16:00:00,8357.73,11.73,2017-06-04
0.0014,0.001434,0.001383,0.001383,20:00:00,5853.31,8.23,2017-06-04
0.001377,0.00141,0.001376,0.0014,00:00:00,3896.76,5.442,2017-06-05
0.00138,0.001398,0.00129,0.001377,04:00:00,16369.29,21.93,2017-06-05
0.00136,0.001393,0.001333,0.00138,08:00:00,11925.47,16.16,2017-06-05
0.00138,0.00148,0.001309,0.00136,12:00:00,33787.35,46.02,2017-06-05
0.001357,0.001469,0.001305,0.00138,16:00:00,21893.19,29.87,2017-06-05
0.001282,0.0015,0.00125,0.001357,20:00:00,27635.34,37.64,2017-06-05
0.00127,0.001357,0.001256,0.001282,00:00:00,10701.13,13.84,2017-06-06
0.001256,0.0013,0.001256,0.00127,04:00:00,7830.89,9.99,2017-06-06
0.00139,0.00139,0.00125,0.001256,08:00:00,9922.55,12.77,2017-06-06
0.001281,0.00139,0.00128,0.00139,12:00:00,9390.91,12.39,2017-06-06
0.001316,0.00132,0.00126,0.001281,16:00:00,11201.61,14.34,2017-06-06
0.001294,0.001318,0.001272,0.001316,20:00:00,5792.55,7.488,2017-06-06
0.001297,0.001297,0.001241,0.001294,00:00:00,12864.7,16.27,2017-06-07
0.001296,0.0013,0.001273,0.001297,04:00:00,12958.85,16.61,2017-06-07
0.00126,0.001302,0.00126,0.001296,08:00:00,12867.93,16.43,2017-06-07
0.001289,0.00131,0.00126,0.00126,12:00:00,11725.9,14.94,2017-06-07
0.001255,0.00131,0.001255,0.001289,16:00:00,4553.68,5.826,2017-06-07
0.001255,0.001287,0.001255,0.001255,20:00:00,4933.03,6.246,2017-06-07
0.001263,0.001276,0.00125,0.001255,00:00:00,6589.93,8.296,2017-06-08
0.001318,0.001348,0.00125,0.001263,04:00:00,11573.11,15.09,2017-06-08
0.001355,0.001387,0.001287,0.001318,08:00:00,15272.46,20.49,2017-06-08
0.0017,0.00196,0.001287,0.001355,12:00:00,69531.7,108.85,2017-06-08
0.00158,0.001892,0.0014,0.0017,16:00:00,88675.25,143.24,2017-06-08
0.001471,0.001629,0.00135,0.00158,20:00:00,45118.95,67.58,2017-06-08
0.001175,0.00154,0.001175,0.001471,00:00:00,38218.66,51.87,2017-06-09
0.001299,0.001422,0.001032,0.001175,04:00:00,35177.76,43.35,2017-06-09
0.001382,0.001382,0.001256,0.001299,08:00:00,7586.6,10.07,2017-06-09
0.001246,0.00146,0.0012,0.001382,12:00:00,22739.22,30.03,2017-06-09
0.001331,0.001335,0.001201,0.001246,16:00:00,8343.82,10.55,2017-06-09
0.00134,0.001375,0.001311,0.001331,20:00:00,3477.08,4.679,2017-06-09
0.001252,0.00134,0.001252,0.00134,00:00:00,6768.15,8.861,2017-06-10
0.001163,0.001289,0.001113,0.001252,04:00:00,15192.85,18.2,2017-06-10
0.001175,0.001222,0.00115,0.001163,08:00:00,8449.3,9.9,2017-06-10
0.001151,0.001191,0.001136,0.001175,12:00:00,8293.42,9.565,2017-06-10
0.001135,0.001167,0.001135,0.001151,16:00:00,2128.78,2.431,2017-06-10
0.00113,0.001155,0.001125,0.001135,20:00:00,11631.23,13.16,2017-06-10
0.001144,0.001149,0.001124,0.00113,00:00:00,4145.7,4.741,2017-06-11
0.001261,0.001363,0.001132,0.001144,04:00:00,19684.12,25.06,2017-06-11
0.001254,0.001323,0.001174,0.001261,08:00:00,4253.56,5.367,2017-06-11
0.001252,0.001318,0.001199,0.001254,12:00:00,7273.89,8.999,2017-06-11
0.0012,0.001252,0.0012,0.001252,16:00:00,1127.61,1.37,2017-06-11
0.001229,0.00125,0.001126,0.0012,20:00:00,6334.48,7.383,2017-06-11
0.00116,0.00125,0.001126,0.001229,00:00:00,1077.01,1.266,2017-06-12
0.001182,0.0012,0.001124,0.00116,04:00:00,5869.69,6.733,2017-06-12
0.001189,0.001217,0.00112,0.001182,08:00:00,6287.08,7.249,2017-06-12
0.001148,0.001219,0.0011,0.001189,12:00:00,12113.63,13.6,2017-06-12
