time,amount,exchange_type,transaction_times,price
1521305864.0,40000000.0,1.0,2.0,1.0
1525943229.0,20000000.0,0.0,1.0,0.999
1534009113.0,1.0,0.0,1.0,1.0
1537589261.0,20000000.0,0.0,1.0,0.9985
1537589970.0,20000000.0,0.0,1.0,0.9985
1557697310.0,80.0,0.0,1.0,1.0
1557700992.0,50.0,0.0,1.0,1.0
1557790952.0,30533349.29872176,0.0,1.0,0.9992
1559611851.0,10000000.0,0.0,1.0,0.9993
1559800478.0,10000000.0,0.0,1.0,1.0
1562680130.0,15000.0,0.0,1.0,1.002
1562732451.0,7836.64,0.0,1.0,0.9986
1562768263.0,5102189.94,0.0,1.0,0.9986
1562835951.0,1482100.0,0.0,1.0,1.0
1562860135.0,1798200.0,0.0,1.0,1.0
1562936841.0,4845150.0,0.0,1.0,1.002
1562937833.0,102800.0,0.0,1.0,1.002
1562939751.0,110900.0,0.0,1.0,1.002
1562957725.0,3996000.0,0.0,1.0,1.002
1563036114.0,491783.0,0.0,2.0,0.998
1563042013.0,50000000.0,2.0,1.0,0.998
1563081436.0,67395.0,0.0,1.0,1.0
1563115872.0,481711.0,0.0,1.0,1.0
1563178365.0,60460.0,0.0,1.0,0.9986
1563219632.0,420924.0,0.0,1.0,0.9986
1563251118.0,72170.0,0.0,1.0,1.0
1563277608.0,36000.0,0.0,1.0,1.0
1563282838.0,1440.47383352,0.0,1.0,1.0
1563294003.0,4865130.0,0.0,1.0,1.0
1563295809.0,24172.61,0.0,1.0,1.0
1563296099.0,889017.0,0.0,1.0,1.0
1563330436.0,352.0,0.0,1.0,1.001
1563331541.0,2282.0,0.0,1.0,1.001
1563332749.0,2946.08,0.0,2.0,1.001
1563333120.0,2759.0,0.0,2.0,1.001
1563333490.0,4210.0,0.0,1.0,1.001
1563335477.0,8327.505549000001,0.0,3.0,1.001
1563335878.0,248642.988408,0.0,15.0,1.001
1563336082.0,432018.93056083005,0.0,63.0,1.001
1563336672.0,3173362.761229241,0.0,190.0,1.001
1563337165.0,978955.54027,0.0,132.0,1.001
1563337298.0,307628.248669,0.0,31.0,1.001
1563338799.0,3690754.2462642924,0.0,363.0,1.001
1563339562.0,2202896.01680054,0.0,257.0,1.001
1563339939.0,381674.9644695099,0.0,78.0,1.001
1563340175.0,2477076.54945092,0.0,125.0,1.001
1563340522.0,676268.87332532,0.0,106.0,1.001
1563346061.0,5776401.589139041,0.0,915.0,1.001
