blocktime,price
1521305864.0,1.0
1525943229.0,0.999
1534009113.0,1.0
1537589261.0,0.9985
1537589970.0,0.9985
1557697310.0,1.0
1557700992.0,1.0
1557790952.0,0.9992
1559611851.0,0.9993
1559800478.0,1.0
1562680130.0,1.002
1562692123.0,1.002
1562694651.0,1.002
1562696933.0,1.002
1562697203.0,1.002
1562732451.0,0.9986
1562733470.0,0.9986
1562733984.0,0.9986
1562746501.0,0.9986
1562768263.0,0.9986
1562769647.0,0.9986
1562769940.0,0.9986
1562772105.0,0.9986
1562772479.0,0.9986
1562772722.0,0.9986
1562773012.0,0.9986
1562774225.0,0.9986
1562781289.0,0.9986
1562782565.0,0.9986
1562782669.0,0.9986
1562784021.0,0.9986
1562784500.0,0.9986
1562785744.0,0.9986
1562786801.0,0.9986
1562787593.0,0.9986
1562788518.0,0.9986
1562790952.0,0.9986
1562798589.0,0.9986
1562799052.0,0.9986
1562800622.0,0.9986
1562802776.0,0.9986
1562805787.0,1.0
1562806492.0,1.0
1562808264.0,1.0
1562809521.0,1.0
1562810102.0,1.0
1562810598.0,1.0
1562812300.0,1.0
1562815173.0,1.0
1562816058.0,1.0
1562817448.0,1.0
1562817908.0,1.0
1562819708.0,1.0
1562820391.0,1.0
1562820793.0,1.0
1562821459.0,1.0
1562828286.0,1.0
1562828503.0,1.0
1562829063.0,1.0
1562829674.0,1.0
1562830715.0,1.0
1562832084.0,1.0
1562832601.0,1.0
1562833113.0,1.0
1562835951.0,1.0
1562836009.0,1.0
1562836870.0,1.0
1562837815.0,1.0
1562838560.0,1.0
1562839413.0,1.0
1562840313.0,1.0
1562841963.0,1.0
1562844462.0,1.0
1562845080.0,1.0
1562849941.0,1.0
1562860135.0,1.0
1562864069.0,1.0
1562864210.0,1.0
1562864823.0,1.0
1562867054.0,1.0
1562867199.0,1.0
1562867540.0,1.0
1562870050.0,1.0
1562871374.0,1.0
1562872339.0,1.0
1562872638.0,1.0
1562877092.0,1.0
1562877327.0,1.0
1562878049.0,1.0
1562878837.0,1.0
1562879068.0,1.0
1562883327.0,1.0
1562884163.0,1.0
1562884734.0,1.0
1562886217.0,1.0
1562888013.0,1.0
1562888928.0,1.0
1562890893.0,1.002
1562893086.0,1.002
1562894183.0,1.002
1562894788.0,1.002
1562895287.0,1.002
1562896129.0,1.002
1562897240.0,1.002
1562898180.0,1.002
1562899860.0,1.002
1562900632.0,1.002
1562902492.0,1.002
1562904035.0,1.002
1562904601.0,1.002
1562905685.0,1.002
1562906114.0,1.002
1562907532.0,1.002
1562909047.0,1.002
1562909577.0,1.002
1562909713.0,1.002
1562910409.0,1.002
1562910767.0,1.002
1562911546.0,1.002
1562912246.0,1.002
1562913596.0,1.002
1562914538.0,1.002
1562915566.0,1.002
1562915975.0,1.002
1562918326.0,1.002
1562918655.0,1.002
1562919489.0,1.002
1562920989.0,1.002
1562921320.0,1.002
1562924089.0,1.002
1562926553.0,1.002
1562927803.0,1.002
1562928711.0,1.002
1562929910.0,1.002
1562930525.0,1.002
1562931565.0,1.002
1562934399.0,1.002
1562934892.0,1.002
1562936841.0,1.002
1562937833.0,1.002
1562939751.0,1.002
1562939925.0,1.002
1562940138.0,1.002
1562940204.0,1.002
1562941588.0,1.002
1562941914.0,1.002
1562942749.0,1.002
1562945790.0,1.002
1562946566.0,1.002
1562948942.0,1.002
1562949293.0,1.002
1562950543.0,1.002
1562950988.0,1.002
1562952244.0,1.002
1562954655.0,1.002
1562957725.0,1.002
1562958402.0,1.002
1562959603.0,1.002
1562960729.0,1.002
1562961405.0,1.002
1562961935.0,1.002
1562963302.0,1.002
1562964100.0,1.002
1562965291.0,1.002
1562966541.0,1.002
1562967727.0,1.002
1562969240.0,1.002
1562970218.0,1.002
1562972129.0,1.002
1562974943.0,1.002
1562975182.0,1.002
1562978308.0,0.998
1562979084.0,0.998
1562983071.0,0.998
1562984196.0,0.998
1562988350.0,0.998
1562988934.0,0.998
1562990671.0,0.998
1562991579.0,0.998
1562992635.0,0.998
1562995568.0,0.998
1562996026.0,0.998
1562997727.0,0.998
1562998625.0,0.998
1562998636.0,0.998
1562999192.0,0.998
1563001141.0,0.998
1563001309.0,0.998
1563001994.0,0.998
1563002509.0,0.998
1563003201.0,0.998
1563004330.0,0.998
1563005373.0,0.998
1563005873.0,0.998
1563006361.0,0.998
1563007137.0,0.998
1563008068.0,0.998
1563011529.0,0.998
1563013181.0,0.998
1563014032.0,0.998
1563014992.0,0.998
1563015969.0,0.998
1563017144.0,0.998
1563017774.0,0.998
1563018814.0,0.998
1563022121.0,0.998
1563023204.0,0.998
1563024176.0,0.998
1563025067.0,0.998
1563025669.0,0.998
1563028572.0,0.998
1563030352.0,0.998
1563031305.0,0.998
1563035838.0,0.998
1563036114.0,0.998
1563036548.0,0.998
1563039170.0,0.998
1563040340.0,0.998
1563042013.0,0.998
1563042967.0,0.998
1563043962.0,0.998
1563044534.0,0.998
1563046224.0,0.998
1563046780.0,0.998
1563047290.0,0.998
1563049035.0,0.998
1563049791.0,0.998
1563050928.0,0.998
1563053836.0,0.998
1563055037.0,0.998
1563055362.0,0.998
1563056870.0,0.998
1563057344.0,0.998
1563058874.0,0.998
1563059003.0,0.998
1563059918.0,0.998
1563060734.0,0.998
1563061678.0,0.998
1563063151.0,1.0
1563063999.0,1.0
1563067418.0,1.0
1563067951.0,1.0
1563069981.0,1.0
1563071337.0,1.0
1563071584.0,1.0
1563074473.0,1.0
1563076191.0,1.0
1563077248.0,1.0
1563078954.0,1.0
1563081436.0,1.0
1563082588.0,1.0
1563084131.0,1.0
1563086107.0,1.0
1563087282.0,1.0
1563088318.0,1.0
1563090439.0,1.0
1563090718.0,1.0
1563091511.0,1.0
1563092816.0,1.0
1563094716.0,1.0
1563095179.0,1.0
1563098282.0,1.0
1563098844.0,1.0
1563099739.0,1.0
1563100410.0,1.0
1563101532.0,1.0
1563104884.0,1.0
1563107876.0,1.0
1563108610.0,1.0
1563109630.0,1.0
1563115125.0,1.0
1563115819.0,1.0
1563115872.0,1.0
1563116992.0,1.0
1563120073.0,1.0
1563120161.0,1.0
1563121220.0,1.0
1563122637.0,1.0
1563123914.0,1.0
1563124866.0,1.0
1563125589.0,1.0
1563125741.0,1.0
1563128511.0,1.0
1563129289.0,1.0
1563130109.0,1.0
1563131104.0,1.0
1563132184.0,1.0
1563133340.0,1.0
1563133863.0,1.0
1563135040.0,1.0
1563135726.0,1.0
1563136474.0,1.0
1563145599.0,1.0
1563146528.0,1.0
1563148282.0,1.0
1563150681.0,0.9986
1563151002.0,0.9986
1563152102.0,0.9986
1563152992.0,0.9986
1563154277.0,0.9986
1563154472.0,0.9986
1563155603.0,0.9986
1563156241.0,0.9986
1563157517.0,0.9986
1563158558.0,0.9986
1563159365.0,0.9986
1563159903.0,0.9986
1563160640.0,0.9986
1563160752.0,0.9986
1563166324.0,0.9986
1563167568.0,0.9986
1563167997.0,0.9986
1563169271.0,0.9986
1563170372.0,0.9986
1563171047.0,0.9986
1563171782.0,0.9986
1563172820.0,0.9986
1563173397.0,0.9986
1563174300.0,0.9986
1563176565.0,0.9986
1563177040.0,0.9986
1563177827.0,0.9986
1563178365.0,0.9986
1563179030.0,0.9986
1563180014.0,0.9986
1563180382.0,0.9986
1563181960.0,0.9986
1563182288.0,0.9986
1563183539.0,0.9986
1563184966.0,0.9986
1563185913.0,0.9986
1563190688.0,0.9986
1563191741.0,0.9986
1563192803.0,0.9986
1563193420.0,0.9986
1563194470.0,0.9986
1563195682.0,0.9986
1563195828.0,0.9986
1563199425.0,0.9986
1563200346.0,0.9986
1563214646.0,0.9986
1563214676.0,0.9986
1563214761.0,0.9986
1563215562.0,0.9986
1563219049.0,0.9986
1563219524.0,0.9986
1563219632.0,0.9986
1563220519.0,0.9986
1563222347.0,0.9986
1563223322.0,0.9986
1563224485.0,0.9986
1563226909.0,0.9986
